sym,exchange,inst,ctype,tick,settlepx,lqt
LH2-LM2,ICE,L,SP,0.005,0.035,2021-04-16D14:29:53.596966641
SONU21,CURVE,SON,OT,0.005,99.955,2021-04-16D14:32:21.056535294
SON-STLU21,CURVE,SON,IC,0.001,,2021-04-16D14:32:21.056535294
SNAU21,CURVE,SNA,OT,0.005,99.955,2021-04-16D14:32:20.385353943
SNA-STGU21,CURVE,SNA,IC,0.001,,2021-04-16D14:32:20.385353943
I:PACK:M25,ICE,I,PK,0.25,,2021-04-16D14:35:14.590898594
STLM21,CURVE,STL,OT,0.005,99.92,2021-04-16D14:35:17.110798624
SONM21,CURVE,SON,OT,0.005,99.95,2021-04-16D14:29:53.576053491
SON-STLM21,CURVE,SON,IC,0.001,,2021-04-16D14:29:58.504144700
STGM21,CURVE,STG,OT,0.005,99.92,2021-04-16D14:33:01.121551736
SNAM21,CURVE,SNA,OT,0.005,99.95,2021-04-16D14:29:53.603065136
SNA-STGM21,CURVE,SNA,IC,0.001,,2021-04-16D14:33:01.121551736
STLZ23,CURVE,STL,OT,0.005,99.38,2021-04-16D14:35:20.798325958
STLU24,CURVE,STL,OT,0.005,99.19,2021-04-16D14:35:17.110798624
STLM24,CURVE,STL,OT,0.005,99.25,2021-04-16D14:35:17.110957514
STLH24,CURVE,STL,OT,0.005,99.32,2021-04-16D14:35:20.798485966
STL+13Z-34H+34M-14U,CURVE,STL,DF,0.005,,2021-04-16D14:35:17.110957514
STGZ23,CURVE,STG,OT,0.005,99.38,2021-04-16D14:35:20.787626264
STGU24,CURVE,STG,OT,0.005,99.19,2021-04-16D14:34:08.594602482
STGM24,CURVE,STG,OT,0.005,99.25,2021-04-16D14:33:23.286193289
STGH24,CURVE,STG,OT,0.005,99.32,2021-04-16D14:35:20.787626264
STG+13Z-34H+34M-14U,CURVE,STG,DF,0.005,,2021-04-16D14:35:20.787626264
ZQF2,CME,ZQ,OT,0.5,9990.5,2021-04-16D14:35:16.054323397
SR1F2-ZQF2,CME,SR1,IS,0.5,3.5,2021-04-16D14:34:51.520410346
SNA-STGH23,CURVE,SNA,IC,0.001,,2021-04-16D14:34:09.683645482
SON-STLH23,CURVE,SON,IC,0.001,,2021-04-16D14:34:09.716701626
STLZ22-STLH23,CURVE,STL,SP,0.005,,2021-04-16D14:35:17.110798624
I:FBUT:Z21+M22+Z22,ICE,I,BF,0.005,,2021-04-16D14:20:11.527939971
EUIZ21,CURVE,EUI,OT,0.005,100.545,2021-04-16D14:35:15.802882604
EUI:BF Z21-M22-Z22,CURVE,EUI,BF,0.005,,2021-04-16D14:32:17.826670880
LU4,ICE,L,OT,0.005,99.19,2021-04-16D14:35:21.833689084
LH4-LU4,ICE,L,SP,0.005,0.12,2021-04-16D14:35:14.132789377
STLH24-STLU24,CURVE,STL,SP,0.005,,2021-04-16D14:35:17.110798624
L:FBUT:M22+U22+Z22,ICE,L,BF,0.005,,2021-04-16D14:29:53.600864739
L:FBUT:H22+M22+U22,ICE,L,BF,0.005,,2021-04-16D14:29:53.600790900
STL+12H-32M+32U-12Z,CURVE,STL,DF,0.005,,2021-04-16D14:35:17.098223802
STL+12M-32U+32Z-13H,CURVE,STL,DF,0.005,,2021-04-16D14:35:17.110798624
STG+12M-32U+32Z-13H,CURVE,STG,DF,0.005,,2021-04-16D14:35:16.941568051
I:FBUT:H25+U25+H26,ICE,I,BF,0.005,,2021-04-16D14:19:37.864749858
IU5-IH6,ICE,I,SP,0.005,0.105,2021-04-16D14:02:31.117376065
STGZ24,CURVE,STG,OT,0.005,99.145,2021-04-16D14:35:12.128724204
STG+14H-34M+34U-14Z,CURVE,STG,DF,0.005,,2021-04-16D14:34:09.682413284
STLZ24,CURVE,STL,OT,0.005,99.145,2021-04-16D14:35:17.115861899
STL+14H-34M+34U-14Z,CURVE,STL,DF,0.005,,2021-04-16D14:35:17.110957514
STL+11M-31U+31Z-12H,CURVE,STL,DF,0.005,,2021-04-16D14:32:21.056073932
STG+11M-31U+31Z-12H,CURVE,STG,DF,0.005,,2021-04-16D14:35:12.363771083
LH3-LM3,ICE,L,SP,0.005,0.075,2021-04-16D14:35:14.132583883
SO3Z3-SO3H4,ICE,SO3,SP,0.005,0.065,2021-04-16D14:29:53.634536032
SONZ3-SONH4,CME,SON,SP,0.25,6.5,2021-04-16D14:30:14.420510136
SONZ3,CME,SON,OT,0.25,9949.5,1970-01-01D00:00:00.000000000
SONH4,CME,SON,OT,0.25,9943,1970-01-01D00:00:00.000000000
SO3Z1-SO3H2,ICE,SO3,SP,0.005,0.01,2021-04-16D14:34:38.658807347
SONZ1-SONH2,CME,SON,SP,0.25,1,2021-04-16D14:29:49.699980983
SONZ1,CME,SON,OT,0.25,9994.5,1970-01-01D00:00:00.000000000
I:PACK:M23,ICE,I,PK,0.25,,2021-04-16D14:35:23.055562228
STGH25,CURVE,STG,OT,0.005,99.105,2021-04-16D14:35:12.042827207
SONZ21,CURVE,SON,OT,0.005,99.945,2021-04-16D14:32:58.594171171
SON-STLZ21,CURVE,SON,IC,0.001,,2021-04-16D14:32:21.048421827
SNAZ21,CURVE,SNA,OT,0.005,99.945,2021-04-16D14:32:20.386274759
SNA-STGZ21,CURVE,SNA,IC,0.001,,2021-04-16D14:32:20.386274759
I:BND3:M21,ICE,I,FB,0.25,,2021-04-16D14:35:21.833802290
IH3-IM3,ICE,I,SP,0.005,0.03,2021-04-16D14:34:12.737699499
EUIM23,CURVE,EUI,OT,0.005,100.46,2021-04-16D14:35:19.816551409
EUIH23-EUIM23,CURVE,EUI,SP,0.005,,2021-04-16D14:35:17.107428306
EUIH23,CURVE,EUI,OT,0.005,100.48,2021-04-16D14:35:19.553385878
SO3Z4,ICE,SO3,OT,0.005,99.26,2021-04-16D14:35:23.053301200
SO3:FBUT:Z24+H25+M25,ICE,SO3,BF,0.005,,2021-04-16D14:29:53.636643219
SON-STLH22,CURVE,SON,IC,0.001,,2021-04-16D14:32:21.052850240
SNA-STGH22,CURVE,SNA,IC,0.001,,2021-04-16D14:32:20.390566928
I:FBUT:H24+U24+H25,ICE,I,BF,0.005,,2021-04-16D14:35:22.093265271
IH4-IU4,ICE,I,SP,0.005,0.095,2021-04-16D14:35:22.092415883
LZ4,ICE,L,OT,0.005,99.14,2021-04-16D14:35:27.741328834
SO3U3-SO3Z3,ICE,SO3,SP,0.005,0.07,2021-04-16D14:34:38.666625933
SONU3-SONZ3,CME,SON,SP,0.25,7,2021-04-16D14:29:49.501919218
SONU3,CME,SON,OT,0.25,9956.5,1970-01-01D00:00:00.000000000
SON-STLU22,CURVE,SON,IC,0.001,,2021-04-16D14:35:17.029334132
SNA-STGU22,CURVE,SNA,IC,0.001,,2021-04-16D14:35:16.941568051
L:FBUT:U22+Z22+H23,ICE,L,BF,0.005,,2021-04-16D14:29:53.600950855
LU1-SO3U1,ICE,L,IC,0.005,0.035,2021-04-16D14:29:53.637082537
SR1M1,CME,SR1,OT,0.5,9996,2021-04-16D14:35:20.789392231
SR1K1-SR1M1,CME,SR1,SP,0.5,1,2021-04-16D14:35:12.058026923
SR1K1,CME,SR1,OT,0.5,9997,2021-04-16D14:35:20.789392231
H2OJ1,CME,H2O,OT,100,80000,2021-04-16D14:32:43.599283640
SR3Z1-SR3H2,CME,SR3,SP,0.5,1.5,2021-04-16D14:35:25.668052233
SF3Z1-SF3H2,ICE,SF3,SP,0.0025,0.015,2021-04-16D14:00:31.952817832
GE:PK 01Y M4,CME,GE,PK,0.25,0,2021-04-16D14:35:25.267315527
SR3H3-GEH3,CME,SR3,IS,0.5,18,2021-04-16D14:35:25.613091940
SR1U1,CME,SR1,OT,0.5,9995.5,2021-04-16D14:35:21.054842190
SR1Q1-SR1U1,CME,SR1,SP,0.5,0,2021-04-16D14:34:09.023010988
SR1Q1,CME,SR1,OT,0.5,9995.5,2021-04-16D14:34:09.023010988
SR1J1-SR1K1,CME,SR1,SP,0.25,1.75,2021-04-16D14:30:36.007143472
SF1J1-SF1K1,ICE,SF1,SP,0.0025,0.0125,2021-04-16D14:31:48.126232829
SR3:AB 01Y M2,CME,SR3,AB,0.25,9979.75,2021-04-16D14:35:19.430850773
SO3M1-SO3U1,ICE,SO3,SP,0.005,0,2021-04-16D14:32:40.821126412
SONM21-SONU21,CURVE,SON,SP,0.005,,2021-04-16D14:29:56.633745147
SNAZ23,CURVE,SNA,OT,0.005,99.5,2021-04-16D14:35:20.787626264
SNAU23-SNAZ23,CURVE,SNA,SP,0.005,,2021-04-16D14:35:15.241782304
SNAU23,CURVE,SNA,OT,0.005,99.565,2021-04-16D14:35:21.793311030
SONZ23,CURVE,SON,OT,0.005,99.5,2021-04-16D14:35:17.110798624
SONU23-SONZ23,CURVE,SON,SP,0.005,,2021-04-16D14:35:15.244238716
SONU23,CURVE,SON,OT,0.005,99.565,2021-04-16D14:35:20.798485966
LZ1-SO3Z1,ICE,L,IC,0.005,0.065,2021-04-16D14:35:12.145181778
SO3H3-SO3M3,ICE,SO3,SP,0.005,0.075,2021-04-16D14:29:53.630052334
BTCJ1-BTCK1,CME,BTC,EQ,1,465,2021-04-16D14:34:22.059355605
I:FBUT:M24+Z24+M25,ICE,I,BF,0.005,,2021-04-16D14:19:34.572762124
IM4-IZ4,ICE,I,SP,0.005,0.1,2021-04-16D14:35:14.592900929
I:FBUT:M23+U23+Z23,ICE,I,BF,0.005,,2021-04-16D14:35:14.596599578
ZQZ1,CME,ZQ,OT,0.5,9991,2021-04-16D14:35:12.631118816
SR1Z1,CME,SR1,OT,0.5,9994,2021-04-16D14:35:12.106441852
SR3H4,CME,SR3,OT,0.5,9911.5,2021-04-16D14:35:25.246335722
STL+14M-34U+34Z-15H,CURVE,STL,DF,0.005,,2021-04-16D14:35:17.115861899
STG+14M-34U+34Z-15H,CURVE,STG,DF,0.005,,2021-04-16D14:35:12.029746396
SR3U3,CME,SR3,OT,0.5,9940,2021-04-16D14:35:25.246320365
SR3M3,CME,SR3,OT,0.5,9954.5,2021-04-16D14:35:25.246335722
SR3:AB 01Y M3,CME,SR3,AB,0.25,9933,2021-04-16D14:35:16.978553861
YIDM21,CME,YID,OT,100,989450,2021-04-16D14:35:25.565069503
YICM21,CME,YIC,OT,50,990650,2021-04-16D14:35:12.497406571
F1UM1,CME,F1U,OT,0.0078125,97.828125,2021-04-16D14:35:14.560290625
SR3Z2-GEZ2,CME,SR3,IS,0.5,20,2021-04-16D14:35:16.131402580
SON+12U-32Z+33H-13M,CURVE,SON,DF,0.005,,2021-04-16D14:35:12.107083051
SNA+12U-32Z+33H-13M,CURVE,SNA,DF,0.005,,2021-04-16D14:35:12.130259746
IZ4-IH5,ICE,I,SP,0.005,0.05,2021-04-16D14:35:17.384601302
IM6,ICE,I,OT,0.005,99.89,2021-04-16D14:35:14.813810684
I:FBUT:M25+Z25+M26,ICE,I,BF,0.005,,2021-04-16D13:37:09.313713363
IZ5-IM6,ICE,I,SP,0.005,0.105,2021-04-16D13:20:21.653010927
LM4,ICE,L,OT,0.005,99.245,2021-04-16D14:35:21.838650361
SON+11Z-32H+32M-12U,CURVE,SON,DF,0.005,,2021-04-16D14:29:53.576679811
SNA+11Z-32H+32M-12U,CURVE,SNA,DF,0.005,,2021-04-16D14:29:49.383881494
IH5-IM5,ICE,I,SP,0.005,0.055,2021-04-16D14:19:34.573167937
LH6,ICE,L,OT,0.005,98.945,2021-04-16D14:35:17.355587093
STLH26,CURVE,STL,OT,0.005,98.955,2021-04-16D14:35:12.850541641
SO3M6,ICE,SO3,OT,0.005,99.025,2021-04-16D14:34:38.660722134
SONM26,CURVE,SON,OT,0.005,99.04,2021-04-16D14:35:12.246880315
SNAM26,CURVE,SNA,OT,0.005,99.04,2021-04-16D14:35:12.213770062
STLM26,CURVE,STL,OT,0.005,98.92,2021-04-16D14:35:12.211632200
SON-STLM26,CURVE,SON,IC,0.001,,2021-04-16D14:34:08.416172328
SR3Z1-GEZ1,CME,SR3,IS,0.5,19.5,2021-04-16D14:35:14.564239534
SONZ21-SONH22,CURVE,SON,SP,0.005,,2021-04-16D14:29:56.630680005
EUIU24-EUIH25,CURVE,EUI,SP,0.005,,2021-04-16D14:35:19.553385878
EUIU24,CURVE,EUI,OT,0.005,100.25,2021-04-16D14:35:21.853784163
EUIH25,CURVE,EUI,OT,0.005,100.15,2021-04-16D14:35:15.810839824
EUIZ24-EUIH25,CURVE,EUI,SP,0.005,,2021-04-16D14:35:15.810839824
EUIZ24,CURVE,EUI,OT,0.005,100.2,2021-04-16D14:35:15.806373206
SNA-STGM22,CURVE,SNA,IC,0.001,,2021-04-16D14:32:20.370638907
SON-STLM22,CURVE,SON,IC,0.001,,2021-04-16D14:32:21.060524633
SO3U1-SO3Z1,ICE,SO3,SP,0.005,0.01,2021-04-16D14:29:53.627924790
SONU21-SONZ21,CURVE,SON,SP,0.005,,2021-04-16D14:33:01.141619692
L:BND2:M21,ICE,L,FB,0.25,,2021-04-16D14:31:47.803016422
IM2-IH3,ICE,I,SP,0.005,0.05,2021-04-16D14:35:16.982638312
IH2-IH3,ICE,I,SP,0.005,0.055,2021-04-16D14:35:15.049554688
EUIM22-EUIH23,CURVE,EUI,SP,0.005,,2021-04-16D14:35:15.806689771
EUIH22-EUIH23,CURVE,EUI,SP,0.005,,2021-04-16D14:35:15.806689771
EUIH22,CURVE,EUI,OT,0.005,100.54,2021-04-16D14:35:15.806689771
SONH27,CURVE,SON,OT,0.005,98.95,2021-04-16D14:35:17.344033698
SNAH27,CURVE,SNA,OT,0.005,98.95,2021-04-16D14:35:17.344033698
LM2-LU2,ICE,L,SP,0.005,0.05,2021-04-16D14:29:53.597063848
STLM22-STLU22,CURVE,STL,SP,0.005,,2021-04-16D14:35:17.115861899
LU6,ICE,L,OT,0.005,98.875,2021-04-16D14:29:53.661869352
LM6,ICE,L,OT,0.005,98.905,2021-04-16D14:29:42.971049235
L:FBUT:H26+M26+U26,ICE,L,BF,0.005,,2021-04-16D14:29:53.601952081
SO3U6,ICE,SO3,OT,0.005,98.995,2021-04-16D14:34:41.554437577
SO3H6,ICE,SO3,OT,0.005,99.065,2021-04-16D14:35:17.355587093
SO3:FBUT:H26+M26+U26,ICE,SO3,BF,0.005,,2021-04-16D14:29:53.606231399
STGM26,CURVE,STG,OT,0.005,98.92,2021-04-16D14:35:12.213770062
STG+13U-33Z+34H-14M,CURVE,STG,DF,0.005,,2021-04-16D14:35:20.787626264
STL+13U-33Z+34H-14M,CURVE,STL,DF,0.005,,2021-04-16D14:35:20.798325958
STGZ25,CURVE,STG,OT,0.005,98.99,2021-04-16D14:34:08.318039188
SONZ26,CURVE,SON,OT,0.005,98.975,2021-04-16D14:33:01.110490815
SNAZ26,CURVE,SNA,OT,0.005,98.975,2021-04-16D14:32:35.895792254
STGH27,CURVE,STG,OT,0.005,98.82,2021-04-16D14:35:17.344033698
ZQU2,CME,ZQ,OT,0.5,9984.5,2021-04-16D14:35:12.144396180
ZQU1,CME,ZQ,OT,0.5,9991,2021-04-16D14:35:18.800096751
SR1U1-ZQU1,CME,SR1,IS,0.5,4.5,2021-04-16D14:35:21.054842190
ZQX1,CME,ZQ,OT,0.5,9991,2021-04-16D14:35:22.260611591
SR1X1-ZQX1,CME,SR1,IS,0.5,4,2021-04-16D14:34:09.023259277
SF1V1,ICE,SF1,OT,0.0025,99.955,2021-04-16D14:31:22.440143216
SF1U1-SF1V1,ICE,SF1,SP,0.0025,0,2021-04-16D14:20:28.678163807
SF1U1,ICE,SF1,OT,0.0025,99.955,2021-04-16D14:31:22.440143216
ZQN1,CME,ZQ,OT,0.5,9991,2021-04-16D14:35:18.933080526
SR1N1-ZQN1,CME,SR1,IS,0.5,5,2021-04-16D14:35:18.563965437
ZQM1,CME,ZQ,OT,0.5,9991.5,2021-04-16D14:35:20.789383115
SR1M1-ZQM1,CME,SR1,IS,0.5,4.5,2021-04-16D14:35:20.789392231
SF1Q1,ICE,SF1,OT,0.0025,99.9575,2021-04-16D14:26:25.981656144
GE:FB 03Y M1,CME,GE,FB,0.25,0,2021-04-16D14:35:23.285693031
GE:PK 01Y M5,CME,GE,PK,0.25,0,2021-04-16D14:35:24.230122534
GE:PK 01Y M1,CME,GE,PK,0.25,0,2021-04-16D14:35:25.267315527
ZQJ1,CME,ZQ,OT,0.25,9993.25,2021-04-16D14:33:40.579408351
SR1J1-ZQJ1,CME,SR1,IS,0.25,5.5,2021-04-16D14:33:40.577772818
AMB1H3,CFE,AMB1,OT,0.25,9968.75,2021-04-16D14:35:09.090240920
AMB1K1,CFE,AMB1,OT,0.25,9990.875,2021-04-16D14:00:03.764604522
AMB1N1,CFE,AMB1,OT,0.25,9990.875,2021-04-16D14:00:03.765923809
AMB1M1,CFE,AMB1,OT,0.25,9990.875,2021-04-16D14:00:03.765837696
AMB3M1,CFE,AMB3,OT,0.25,9990.625,2021-04-16D14:28:28.629358296
GE:PS M4-M5,CME,GE,PS,0.25,0,2021-04-16D14:35:21.901118496
I:FBUT:Z23+M24+Z24,ICE,I,BF,0.005,,2021-04-16D14:35:14.592917433
IZ3-IM4,ICE,I,SP,0.005,0.09,2021-04-16D14:35:14.586933361
IH2-IM2,ICE,I,SP,0.005,0.005,2021-04-16D14:34:21.137387888
EUIH22-EUIM22,CURVE,EUI,SP,0.005,,2021-04-16D14:35:15.810839824
L:FBUT:M21+U21+Z21,ICE,L,BF,0.005,,2021-04-16D14:32:58.474220432
STL:BF M21-U21-Z21,CURVE,STL,BF,0.005,,2021-04-16D14:33:01.121397172
SR3U1-GEU1,CME,SR3,IS,0.5,14,2021-04-16D14:35:25.667918437
LZ1-LH2,ICE,L,SP,0.005,0.075,2021-04-16D14:33:46.049783362
STL:BF Z21-H22-M22,CURVE,STL,BF,0.005,,2021-04-16D14:33:08.594296462
L:FBUT:Z21+H22+M22,ICE,L,BF,0.005,,2021-04-16D14:29:53.600663431
STL:BF U21-Z21-H22,CURVE,STL,BF,0.005,,2021-04-16D14:35:17.110798624
L:FBUT:U21+Z21+H22,ICE,L,BF,0.005,,2021-04-16D12:30:52.744393667
LU4-LH5,ICE,L,SP,0.005,0.09,2021-04-16D14:34:08.380921564
STLU24-STLH25,CURVE,STL,SP,0.005,,2021-04-16D14:35:17.115861899
SONM3,CME,SON,OT,0.25,9964,1970-01-01D00:00:00.000000000
SONH3-SONM3,CME,SON,SP,0.25,7.5,2021-04-16D14:29:49.643074582
SNAM23-SNAU23,CURVE,SNA,SP,0.005,,2021-04-16D14:35:16.974731768
SONM23-SONU23,CURVE,SON,SP,0.005,,2021-04-16D14:35:16.973350218
STL+13H-33M+33U-13Z,CURVE,STL,DF,0.005,,2021-04-16D14:35:20.798485966
STG+13H-33M+33U-13Z,CURVE,STG,DF,0.005,,2021-04-16D14:35:20.787626264
