sym,exchange,inst,ctype,tick,settlepx
SO3M1,ICE,SO3,OT,0.005,99.95
SO3U1,ICE,SO3,OT,0.005,99.95
SO3Z1,ICE,SO3,OT,0.005,99.94
SO3H2,ICE,SO3,OT,0.005,99.92
SO3M2,ICE,SO3,OT,0.005,99.875
SO3U2,ICE,SO3,OT,0.005,99.825
SO3Z2,ICE,SO3,OT,0.005,99.76
SO3H3,ICE,SO3,OT,0.005,99.695
SO3M3,ICE,SO3,OT,0.005,99.62
SO3U3,ICE,SO3,OT,0.005,99.545
SO3Z3,ICE,SO3,OT,0.005,99.475
SO3H4,ICE,SO3,OT,0.005,99.41
SO3M4,ICE,SO3,OT,0.005,99.345
SO3U4,ICE,SO3,OT,0.005,99.285
SO3Z4,ICE,SO3,OT,0.005,99.24
SO3H5,ICE,SO3,OT,0.005,99.195
SO3M5,ICE,SO3,OT,0.005,99.15
SO3U5,ICE,SO3,OT,0.005,99.11
SO3Z5,ICE,SO3,OT,0.005,99.075
SO3H6,ICE,SO3,OT,0.005,99.035
SO3M6,ICE,SO3,OT,0.005,99.005
SO3U6,ICE,SO3,OT,0.005,98.97
SO3Z6,ICE,SO3,OT,0.005,98.95
SO3H7,ICE,,,,
..,..,,,,
..,..,,,,
LM1,ICE,L,OT,0.005,99.92
LU1,ICE,L,OT,0.005,99.92
LZ1,ICE,L,OT,0.005,99.88
LH2,ICE,L,OT,0.005,99.8
LM2,ICE,L,OT,0.005,99.755
LU2,ICE,L,OT,0.005,99.705
LZ2,ICE,L,OT,0.005,99.64
LH3,ICE,L,OT,0.005,99.575
LM3,ICE,L,OT,0.005,99.5
LU3,ICE,L,OT,0.005,99.425
LZ3,ICE,L,OT,0.005,99.355
LH4,ICE,L,OT,0.005,99.29
LM4,ICE,L,OT,0.005,99.225
LU4,ICE,L,OT,0.005,99.165
LZ4,ICE,L,OT,0.005,99.12
LH5,ICE,L,OT,0.005,99.075
LM5,ICE,L,OT,0.005,99.03
LU5,ICE,L,OT,0.005,98.99
LZ5,ICE,L,OT,0.005,98.955
LH6,ICE,L,OT,0.005,98.915
LM6,ICE,L,OT,0.005,98.885
LU6,ICE,L,OT,0.005,98.85
LZ6,ICE,L,OT,0.005,98.83
LH7,ICE,L,OT,0.005,98.81
..,..,,,,
IM1,ICE,I,OT,0.005,100.54
IU1,ICE,I,OT,0.005,100.535
IZ1,ICE,I,OT,0.005,100.54
IH2,ICE,I,OT,0.005,100.53
IM2,ICE,I,OT,0.005,100.52
IU2,ICE,I,OT,0.005,100.51
IZ2,ICE,I,OT,0.005,100.485
IH3,ICE,I,OT,0.005,100.455
IM3,ICE,I,OT,0.005,100.425
IU3,ICE,I,OT,0.005,100.39
IZ3,ICE,I,OT,0.005,100.35
IH4,ICE,I,OT,0.005,100.305
IM4,ICE,I,OT,0.005,100.255
IU4,ICE,I,OT,0.005,100.205
IZ4,ICE,I,OT,0.005,100.15
IH5,ICE,I,OT,0.005,100.1
IM5,ICE,I,OT,0.005,100.045
IU5,ICE,I,OT,0.005,99.995
IZ5,ICE,I,OT,0.005,99.945
IH6,ICE,I,OT,0.005,99.9
IM6,ICE,I,OT,0.005,99.85
IU6,ICE,I,OT,0.005,99.805
IZ6,ICE,I,OT,0.005,99.75
IH7,ICE,I,OT,0.005,99.7
..,..,,,,
SONM21,CURVE,SON,OT,0.005,99.955
SONU21,CURVE,SON,OT,0.005,99.95
SONZ21,CURVE,SON,OT,0.005,99.935
SONH22,CURVE,SON,OT,0.005,99.915
SONM22,CURVE,SON,OT,0.005,99.87
SONU22,CURVE,SON,OT,0.005,99.825
SONZ22,CURVE,SON,OT,0.005,99.755
SONH23,CURVE,SON,OT,0.005,99.69
SONM23,CURVE,SON,OT,0.005,99.62
SONU23,CURVE,SON,OT,0.005,99.545
SONZ23,CURVE,SON,OT,0.005,99.475
SONH24,CURVE,SON,OT,0.005,99.41
SONM24,CURVE,SON,OT,0.005,99.335
SONU24,CURVE,SON,OT,0.005,99.28
SONZ24,CURVE,SON,OT,0.005,99.23
SONH25,CURVE,SON,OT,0.005,99.195
SONM25,CURVE,SON,OT,0.005,99.15
SONU25,CURVE,SON,OT,0.005,99.11
SONZ25,CURVE,SON,OT,0.005,99.07
SONH26,CURVE,SON,OT,0.005,99.035
SONM26,CURVE,SON,OT,0.005,99
SONU26,CURVE,SON,OT,0.005,98.965
SONZ26,CURVE,SON,OT,0.005,98.95
SONH27,CURVE,SON,OT,0.005,98.93
..,..,,,,
I:FBUT:M21+U21+Z21,ICE,I,BF,0.005,
I:FBUT:U21+Z21+H22,ICE,I,BF,0.005,
I:FBUT:Z21+H22+M22,ICE,I,BF,0.005,
I:FBUT:H22+M22+U22,ICE,I,BF,0.005,
I:FBUT:M22+U22+Z22,ICE,I,BF,0.005,
I:FBUT:U22+Z22+H23,ICE,I,BF,0.005,
I:FBUT:Z22+H23+M23,ICE,I,BF,0.005,
I:FBUT:H23+M23+U23,ICE,I,BF,0.005,
I:FBUT:M23+U23+Z23,ICE,I,BF,0.005,
I:FBUT:U23+Z23+H24,ICE,I,BF,0.005,
I:FBUT:Z23+H24+M24,ICE,I,BF,0.005,
I:FBUT:H24+M24+U24,ICE,I,BF,0.005,
I:FBUT:M24+U24+Z24,ICE,I,BF,0.005,
I:FBUT:U24+Z24+H25,ICE,I,BF,0.005,
I:FBUT:Z24+H25+M25,ICE,I,BF,0.005,
I:FBUT:H25+M25+U25,ICE,I,BF,0.005,
I:FBUT:M25+U25+Z25,ICE,I,BF,0.005,
I:FBUT:U25+Z25+H26,ICE,I,BF,0.005,
I:FBUT:Z25+H26+M26,ICE,I,BF,0.005,
I:FBUT:H26+M26+U26,ICE,I,BF,0.005,
I:FBUT:M26+U26+Z26,ICE,I,BF,0.005,
I:FBUT:M21+Z21+M22,ICE,I,BF,0.005,
I:FBUT:U21+H22+U22,ICE,I,BF,0.005,
I:FBUT:Z21+M22+Z22,ICE,I,BF,0.005,
I:FBUT:H22+U22+H23,ICE,I,BF,0.005,
I:FBUT:M22+Z22+M23,ICE,I,BF,0.005,
I:FBUT:U22+H23+U23,ICE,I,BF,0.005,
I:FBUT:Z22+M23+Z23,ICE,I,BF,0.005,
I:FBUT:H23+U23+H24,ICE,I,BF,0.005,
I:FBUT:M23+Z23+M24,ICE,I,BF,0.005,
I:FBUT:U23+H24+U24,ICE,I,BF,0.005,
I:FBUT:Z23+M24+Z24,ICE,I,BF,0.005,
I:FBUT:H24+U24+H25,ICE,I,BF,0.005,
I:FBUT:M24+Z24+M25,ICE,I,BF,0.005,
I:FBUT:U24+H25+U25,ICE,I,BF,0.005,
I:FBUT:Z24+M25+Z25,ICE,I,BF,0.005,
I:FBUT:H25+U25+H26,ICE,I,BF,0.005,
I:FBUT:M25+Z25+M26,ICE,I,BF,0.005,
I:FBUT:U25+H26+U26,ICE,I,BF,0.005,
I:FBUT:Z25+M26+Z26,ICE,,,,
I:FBUT:M21+H22+Z22,ICE,I,BF,0.005,
I:FBUT:U21+M22+H23,ICE,I,BF,0.005,
I:FBUT:Z21+U22+M23,ICE,I,BF,0.005,
I:FBUT:H22+Z22+U23,ICE,I,BF,0.005,
I:FBUT:M22+H23+Z23,ICE,I,BF,0.005,
I:FBUT:U22+M23+H24,ICE,I,BF,0.005,
I:FBUT:Z22+U23+M24,ICE,I,BF,0.005,
I:FBUT:H23+Z23+U24,ICE,I,BF,0.005,
I:FBUT:M23+H24+Z24,ICE,I,BF,0.005,
I:FBUT:U23+M24+H25,ICE,I,BF,0.005,
I:FBUT:Z23+U24+M25,ICE,I,BF,0.005,
I:FBUT:H24+Z24+U25,ICE,I,BF,0.005,
I:FBUT:M24+H25+Z25,ICE,I,BF,0.005,
I:FBUT:U24+M25+H26,ICE,I,BF,0.005,
I:FBUT:Z24+U25+M26,ICE,I,BF,0.005,
I:FBUT:H25+Z25+U26,ICE,I,BF,0.005,
I:FBUT:M25+H26+Z26,ICE,,,,
I:FBUT:U25+M26+H27,ICE,,,,
I:FBUT:M21+M22+M23,ICE,I,BF,0.005,
I:FBUT:U21+U22+U23,ICE,I,BF,0.005,
I:FBUT:Z21+Z22+Z23,ICE,I,BF,0.005,
I:FBUT:H22+H23+H24,ICE,I,BF,0.005,
I:FBUT:M22+M23+M24,ICE,I,BF,0.005,
I:FBUT:U22+U23+U24,ICE,I,BF,0.005,
I:FBUT:Z22+Z23+Z24,ICE,I,BF,0.005,
I:FBUT:H23+H24+H25,ICE,I,BF,0.005,
I:FBUT:M23+M24+M25,ICE,I,BF,0.005,
I:FBUT:U23+U24+U25,ICE,I,BF,0.005,
I:FBUT:Z23+Z24+Z25,ICE,I,BF,0.005,
I:FBUT:H24+H25+H26,ICE,I,BF,0.005,
I:FBUT:M24+M25+M26,ICE,I,BF,0.005,
I:FBUT:U24+U25+U26,ICE,I,BF,0.005,
L:FBUT:M21+U21+Z21,ICE,L,BF,0.005,
L:FBUT:U21+Z21+H22,ICE,L,BF,0.005,
L:FBUT:Z21+H22+M22,ICE,L,BF,0.005,
L:FBUT:H22+M22+U22,ICE,L,BF,0.005,
L:FBUT:M22+U22+Z22,ICE,L,BF,0.005,
L:FBUT:U22+Z22+H23,ICE,L,BF,0.005,
L:FBUT:Z22+H23+M23,ICE,L,BF,0.005,
L:FBUT:H23+M23+U23,ICE,L,BF,0.005,
L:FBUT:M23+U23+Z23,ICE,L,BF,0.005,
L:FBUT:U23+Z23+H24,ICE,L,BF,0.005,
L:FBUT:Z23+H24+M24,ICE,L,BF,0.005,
L:FBUT:H24+M24+U24,ICE,L,BF,0.005,
L:FBUT:M24+U24+Z24,ICE,L,BF,0.005,
L:FBUT:U24+Z24+H25,ICE,L,BF,0.005,
L:FBUT:Z24+H25+M25,ICE,L,BF,0.005,
L:FBUT:H25+M25+U25,ICE,L,BF,0.005,
L:FBUT:M25+U25+Z25,ICE,L,BF,0.005,
L:FBUT:U25+Z25+H26,ICE,L,BF,0.005,
L:FBUT:Z25+H26+M26,ICE,L,BF,0.005,
L:FBUT:H26+M26+U26,ICE,L,BF,0.005,
L:FBUT:M26+U26+Z26,ICE,L,BF,0.005,
L:FBUT:M21+Z21+M22,ICE,L,BF,0.005,
L:FBUT:U21+H22+U22,ICE,L,BF,0.005,
L:FBUT:Z21+M22+Z22,ICE,L,BF,0.005,
L:FBUT:H22+U22+H23,ICE,L,BF,0.005,
L:FBUT:M22+Z22+M23,ICE,L,BF,0.005,
L:FBUT:U22+H23+U23,ICE,L,BF,0.005,
L:FBUT:Z22+M23+Z23,ICE,L,BF,0.005,
L:FBUT:H23+U23+H24,ICE,L,BF,0.005,
L:FBUT:M23+Z23+M24,ICE,L,BF,0.005,
L:FBUT:U23+H24+U24,ICE,L,BF,0.005,
L:FBUT:Z23+M24+Z24,ICE,L,BF,0.005,
L:FBUT:H24+U24+H25,ICE,L,BF,0.005,
L:FBUT:M24+Z24+M25,ICE,L,BF,0.005,
L:FBUT:U24+H25+U25,ICE,L,BF,0.005,
L:FBUT:Z24+M25+Z25,ICE,L,BF,0.005,
L:FBUT:H25+U25+H26,ICE,L,BF,0.005,
L:FBUT:M25+Z25+M26,ICE,L,BF,0.005,
L:FBUT:U25+H26+U26,ICE,L,BF,0.005,
L:FBUT:Z25+M26+Z26,ICE,,,,
L:FBUT:M21+H22+Z22,ICE,L,BF,0.005,
L:FBUT:U21+M22+H23,ICE,L,BF,0.005,
L:FBUT:Z21+U22+M23,ICE,L,BF,0.005,
L:FBUT:H22+Z22+U23,ICE,L,BF,0.005,
L:FBUT:M22+H23+Z23,ICE,L,BF,0.005,
L:FBUT:U22+M23+H24,ICE,L,BF,0.005,
L:FBUT:Z22+U23+M24,ICE,L,BF,0.005,
L:FBUT:H23+Z23+U24,ICE,L,BF,0.005,
L:FBUT:M23+H24+Z24,ICE,L,BF,0.005,
L:FBUT:U23+M24+H25,ICE,L,BF,0.005,
L:FBUT:Z23+U24+M25,ICE,L,BF,0.005,
L:FBUT:H24+Z24+U25,ICE,L,BF,0.005,
L:FBUT:M24+H25+Z25,ICE,L,BF,0.005,
L:FBUT:U24+M25+H26,ICE,L,BF,0.005,
L:FBUT:Z24+U25+M26,ICE,L,BF,0.005,
L:FBUT:H25+Z25+U26,ICE,L,BF,0.005,
L:FBUT:M25+H26+Z26,ICE,,,,
L:FBUT:U25+M26+H27,ICE,,,,
L:FBUT:M21+M22+M23,ICE,L,BF,0.005,
L:FBUT:U21+U22+U23,ICE,L,BF,0.005,
L:FBUT:Z21+Z22+Z23,ICE,L,BF,0.005,
L:FBUT:H22+H23+H24,ICE,L,BF,0.005,
L:FBUT:M22+M23+M24,ICE,L,BF,0.005,
L:FBUT:U22+U23+U24,ICE,L,BF,0.005,
L:FBUT:Z22+Z23+Z24,ICE,L,BF,0.005,
L:FBUT:H23+H24+H25,ICE,L,BF,0.005,
L:FBUT:M23+M24+M25,ICE,L,BF,0.005,
L:FBUT:U23+U24+U25,ICE,L,BF,0.005,
L:FBUT:Z23+Z24+Z25,ICE,L,BF,0.005,
L:FBUT:H24+H25+H26,ICE,L,BF,0.005,
L:FBUT:M24+M25+M26,ICE,L,BF,0.005,
L:FBUT:U24+U25+U26,ICE,L,BF,0.005,
..,..,,,,
SO3:FBUT:M21+U21+Z21,ICE,SO3,BF,0.005,
SO3:FBUT:U21+Z21+H22,ICE,SO3,BF,0.005,
SO3:FBUT:Z21+H22+M22,ICE,SO3,BF,0.005,
SO3:FBUT:H22+M22+U22,ICE,SO3,BF,0.005,
SO3:FBUT:M22+U22+Z22,ICE,SO3,BF,0.005,
SO3:FBUT:U22+Z22+H23,ICE,SO3,BF,0.005,
SO3:FBUT:Z22+H23+M23,ICE,SO3,BF,0.005,
SO3:FBUT:H23+M23+U23,ICE,SO3,BF,0.005,
SO3:FBUT:M23+U23+Z23,ICE,SO3,BF,0.005,
SO3:FBUT:U23+Z23+H24,ICE,SO3,BF,0.005,
SO3:FBUT:Z23+H24+M24,ICE,SO3,BF,0.005,
SO3:FBUT:H24+M24+U24,ICE,SO3,BF,0.005,
SO3:FBUT:M24+U24+Z24,ICE,SO3,BF,0.005,
SO3:FBUT:U24+Z24+H25,ICE,SO3,BF,0.005,
SO3:FBUT:Z24+H25+M25,ICE,SO3,BF,0.005,
SO3:FBUT:H25+M25+U25,ICE,SO3,BF,0.005,
SO3:FBUT:M25+U25+Z25,ICE,SO3,BF,0.005,
SO3:FBUT:U25+Z25+H26,ICE,SO3,BF,0.005,
SO3:FBUT:Z25+H26+M26,ICE,SO3,BF,0.005,
SO3:FBUT:H26+M26+U26,ICE,SO3,BF,0.005,
SO3:FBUT:M26+U26+Z26,ICE,SO3,BF,0.005,
SO3:FBUT:M21+Z21+M22,ICE,SO3,BF,0.005,
SO3:FBUT:U21+H22+U22,ICE,SO3,BF,0.005,
SO3:FBUT:Z21+M22+Z22,ICE,SO3,BF,0.005,
SO3:FBUT:H22+U22+H23,ICE,SO3,BF,0.005,
SO3:FBUT:M22+Z22+M23,ICE,SO3,BF,0.005,
SO3:FBUT:U22+H23+U23,ICE,SO3,BF,0.005,
SO3:FBUT:Z22+M23+Z23,ICE,SO3,BF,0.005,
SO3:FBUT:H23+U23+H24,ICE,SO3,BF,0.005,
SO3:FBUT:M23+Z23+M24,ICE,SO3,BF,0.005,
SO3:FBUT:U23+H24+U24,ICE,SO3,BF,0.005,
SO3:FBUT:Z23+M24+Z24,ICE,SO3,BF,0.005,
SO3:FBUT:H24+U24+H25,ICE,SO3,BF,0.005,
SO3:FBUT:M24+Z24+M25,ICE,SO3,BF,0.005,
SO3:FBUT:U24+H25+U25,ICE,,,,
SO3:FBUT:Z24+M25+Z25,ICE,SO3,BF,0.005,
SO3:FBUT:H25+U25+H26,ICE,SO3,BF,0.005,
SO3:FBUT:M25+Z25+M26,ICE,,,,
SO3:FBUT:U25+H26+U26,ICE,,,,
SO3:FBUT:Z25+M26+Z26,ICE,,,,
SO3:FBUT:M21+H22+Z22,ICE,,,,
SO3:FBUT:U21+M22+H23,ICE,,,,
SO3:FBUT:Z21+U22+M23,ICE,,,,
SO3:FBUT:H22+Z22+U23,ICE,SO3,BF,0.005,
SO3:FBUT:M22+H23+Z23,ICE,SO3,BF,0.005,
SO3:FBUT:U22+M23+H24,ICE,,,,
SO3:FBUT:Z22+U23+M24,ICE,,,,
SO3:FBUT:H23+Z23+U24,ICE,,,,
SO3:FBUT:M23+H24+Z24,ICE,,,,
SO3:FBUT:U23+M24+H25,ICE,,,,
SO3:FBUT:Z23+U24+M25,ICE,,,,
SO3:FBUT:H24+Z24+U25,ICE,,,,
SO3:FBUT:M24+H25+Z25,ICE,,,,
SO3:FBUT:U24+M25+H26,ICE,,,,
SO3:FBUT:Z24+U25+M26,ICE,,,,
SO3:FBUT:H25+Z25+U26,ICE,,,,
SO3:FBUT:M25+H26+Z26,ICE,,,,
SO3:FBUT:U25+M26+H27,ICE,,,,
SO3:FBUT:M21+M22+M23,ICE,,,,
SO3:FBUT:U21+U22+U23,ICE,,,,
SO3:FBUT:Z21+Z22+Z23,ICE,SO3,BF,0.005,
SO3:FBUT:H22+H23+H24,ICE,SO3,BF,0.005,
SO3:FBUT:M22+M23+M24,ICE,SO3,BF,0.005,
SO3:FBUT:U22+U23+U24,ICE,SO3,BF,0.005,
SO3:FBUT:Z22+Z23+Z24,ICE,SO3,BF,0.005,
SO3:FBUT:H23+H24+H25,ICE,,,,
SO3:FBUT:M23+M24+M25,ICE,,,,
SO3:FBUT:U23+U24+U25,ICE,,,,
SO3:FBUT:Z23+Z24+Z25,ICE,,,,
SO3:FBUT:H24+H25+H26,ICE,,,,
SO3:FBUT:M24+M25+M26,ICE,,,,
SO3:FBUT:U24+U25+U26,ICE,,,,
..,..,,,,
SON:BF M21-U21-Z21,CURVE,SON,BF,0.005,
SON:BF U21-Z21-H22,CURVE,SON,BF,0.005,
SON:BF Z21-H22-M22,CURVE,SON,BF,0.005,
SON:BF H22-M22-U22,CURVE,SON,BF,0.005,
SON:BF M22-U22-Z22,CURVE,SON,BF,0.005,
SON:BF U22-Z22-H23,CURVE,SON,BF,0.005,
SON:BF Z22-H23-M23,CURVE,SON,BF,0.005,
SON:BF H23-M23-U23,CURVE,SON,BF,0.005,
SON:BF M23-U23-Z23,CURVE,SON,BF,0.005,
SON:BF U23-Z23-H24,CURVE,SON,BF,0.005,
SON:BF Z23-H24-M24,CURVE,SON,BF,0.005,
SON:BF H24-M24-U24,CURVE,SON,BF,0.005,
SON:BF M24-U24-Z24,CURVE,SON,BF,0.005,
SON:BF U24-Z24-H25,CURVE,SON,BF,0.005,
SON:BF Z24-H25-M25,CURVE,SON,BF,0.005,
SON:BF H25-M25-U25,CURVE,SON,BF,0.005,
SON:BF M25-U25-Z25,CURVE,SON,BF,0.005,
SON:BF U25-Z25-H26,CURVE,SON,BF,0.005,
SON:BF Z25-H26-M26,CURVE,SON,BF,0.005,
SON:BF H26-M26-U26,CURVE,SON,BF,0.005,
SON:BF M26-U26-Z26,CURVE,SON,BF,0.005,
SON:BF M21-Z21-M22,CURVE,SON,BF,0.005,
SON:BF U21-H22-U22,CURVE,SON,BF,0.005,
SON:BF Z21-M22-Z22,CURVE,SON,BF,0.005,
SON:BF H22-U22-H23,CURVE,SON,BF,0.005,
SON:BF M22-Z22-M23,CURVE,SON,BF,0.005,
SON:BF U22-H23-U23,CURVE,SON,BF,0.005,
SON:BF Z22-M23-Z23,CURVE,SON,BF,0.005,
SON:BF H23-U23-H24,CURVE,SON,BF,0.005,
SON:BF M23-Z23-M24,CURVE,SON,BF,0.005,
SON:BF U23-H24-U24,CURVE,SON,BF,0.005,
SON:BF Z23-M24-Z24,CURVE,SON,BF,0.005,
SON:BF H24-U24-H25,CURVE,SON,BF,0.005,
SON:BF M24-Z24-M25,CURVE,SON,BF,0.005,
SON:BF U24-H25-U25,CURVE,SON,BF,0.005,
SON:BF Z24-M25-Z25,CURVE,SON,BF,0.005,
SON:BF H25-U25-H26,CURVE,SON,BF,0.005,
SON:BF M25-Z25-M26,CURVE,SON,BF,0.005,
SON:BF U25-H26-U26,CURVE,SON,BF,0.005,
SON:BF Z25-M26-Z26,CURVE,SON,BF,0.005,
SON:BF M21-H22-Z22,CURVE,SON,BF,0.005,
SON:BF U21-M22-H23,CURVE,SON,BF,0.005,
SON:BF Z21-U22-M23,CURVE,SON,BF,0.005,
SON:BF H22-Z22-U23,CURVE,SON,BF,0.005,
SON:BF M22-H23-Z23,CURVE,SON,BF,0.005,
SON:BF U22-M23-H24,CURVE,SON,BF,0.005,
SON:BF Z22-U23-M24,CURVE,SON,BF,0.005,
SON:BF H23-Z23-U24,CURVE,SON,BF,0.005,
SON:BF M23-H24-Z24,CURVE,SON,BF,0.005,
SON:BF U23-M24-H25,CURVE,SON,BF,0.005,
SON:BF Z23-U24-M25,CURVE,SON,BF,0.005,
SON:BF H24-Z24-U25,CURVE,SON,BF,0.005,
SON:BF M24-H25-Z25,CURVE,SON,BF,0.005,
SON:BF U24-M25-H26,CURVE,SON,BF,0.005,
SON:BF Z24-U25-M26,CURVE,SON,BF,0.005,
SON:BF H25-Z25-U26,CURVE,SON,BF,0.005,
SON:BF M25-H26-Z26,CURVE,SON,BF,0.005,
SON:BF U25-M26-H27,CURVE,SON,BF,0.005,
SON:BF M21-M22-M23,CURVE,SON,BF,0.005,
SON:BF U21-U22-U23,CURVE,SON,BF,0.005,
SON:BF Z21-Z22-Z23,CURVE,SON,BF,0.005,
SON:BF H22-H23-H24,CURVE,SON,BF,0.005,
SON:BF M22-M23-M24,CURVE,SON,BF,0.005,
SON:BF U22-U23-U24,CURVE,SON,BF,0.005,
SON:BF Z22-Z23-Z24,CURVE,SON,BF,0.005,
SON:BF H23-H24-H25,CURVE,SON,BF,0.005,
SON:BF M23-M24-M25,CURVE,SON,BF,0.005,
SON:BF U23-U24-U25,CURVE,SON,BF,0.005,
SON:BF Z23-Z24-Z25,CURVE,SON,BF,0.005,
SON:BF H24-H25-H26,CURVE,SON,BF,0.005,
SON:BF M24-M25-M26,CURVE,SON,BF,0.005,
SON:BF U24-U25-U26,CURVE,SON,BF,0.005,
STG+11M-31U+31Z-12H,CURVE,STG,DF,0.005,
STG+11U-31Z+32H-12M,CURVE,STG,DF,0.005,
STG+11Z-32H+32M-12U,CURVE,STG,DF,0.005,
STG+12H-32M+32U-12Z,CURVE,STG,DF,0.005,
STG+12M-32U+32Z-13H,CURVE,STG,DF,0.005,
STG+12U-32Z+33H-13M,CURVE,STG,DF,0.005,
STG+12Z-33H+33M-13U,CURVE,STG,DF,0.005,
STG+13H-33M+33U-13Z,CURVE,STG,DF,0.005,
STG+13M-33U+33Z-14H,CURVE,STG,DF,0.005,
STG+13U-33Z+34H-14M,CURVE,STG,DF,0.005,
STG+13Z-34H+34M-14U,CURVE,STG,DF,0.005,
STG+14H-34M+34U-14Z,CURVE,STG,DF,0.005,
STG+14M-34U+34Z-15H,CURVE,STG,DF,0.005,
STG+14U-34Z+35H-15M,CURVE,STG,DF,0.005,
STG+14Z-35H+35M-15U,CURVE,STG,DF,0.005,
STG+15H-35M+35U-15Z,CURVE,STG,DF,0.005,
STG+15M-35U+35Z-16H,CURVE,STG,DF,0.005,
STL+11M-31U+31Z-12H,CURVE,STL,DF,0.005,
STL+11U-31Z+32H-12M,CURVE,STL,DF,0.005,
STL+11Z-32H+32M-12U,CURVE,STL,DF,0.005,
STL+12H-32M+32U-12Z,CURVE,STL,DF,0.005,
STL+12M-32U+32Z-13H,CURVE,STL,DF,0.005,
STL+12U-32Z+33H-13M,CURVE,STL,DF,0.005,
STL+12Z-33H+33M-13U,CURVE,STL,DF,0.005,
STL+13H-33M+33U-13Z,CURVE,STL,DF,0.005,
STL+13M-33U+33Z-14H,CURVE,STL,DF,0.005,
STL+13U-33Z+34H-14M,CURVE,STL,DF,0.005,
STL+13Z-34H+34M-14U,CURVE,STL,DF,0.005,
STL+14H-34M+34U-14Z,CURVE,STL,DF,0.005,
STL+14M-34U+34Z-15H,CURVE,STL,DF,0.005,
STL+14U-34Z+35H-15M,CURVE,STL,DF,0.005,
STL+14Z-35H+35M-15U,CURVE,STL,DF,0.005,
STL+15H-35M+35U-15Z,CURVE,STL,DF,0.005,
STL+15M-35U+35Z-16H,CURVE,STL,DF,0.005,
SON+11M-31U+31Z-12H,CURVE,SON,DF,0.005,
SON+11U-31Z+32H-12M,CURVE,SON,DF,0.005,
SON+11Z-32H+32M-12U,CURVE,SON,DF,0.005,
SON+12H-32M+32U-12Z,CURVE,SON,DF,0.005,
SON+12M-32U+32Z-13H,CURVE,SON,DF,0.005,
SON+12U-32Z+33H-13M,CURVE,SON,DF,0.005,
SON+12Z-33H+33M-13U,CURVE,SON,DF,0.005,
SON+13H-33M+33U-13Z,CURVE,SON,DF,0.005,
SON+13M-33U+33Z-14H,CURVE,SON,DF,0.005,
SON+13U-33Z+34H-14M,CURVE,SON,DF,0.005,
SON+13Z-34H+34M-14U,CURVE,SON,DF,0.005,
SON+14H-34M+34U-14Z,CURVE,SON,DF,0.005,
SON+14M-34U+34Z-15H,CURVE,SON,DF,0.005,
SON+14U-34Z+35H-15M,CURVE,SON,DF,0.005,
SON+14Z-35H+35M-15U,CURVE,SON,DF,0.005,
SON+15H-35M+35U-15Z,CURVE,SON,DF,0.005,
SON+15M-35U+35Z-16H,CURVE,SON,DF,0.005,
SNA+11M-31U+31Z-12H,CURVE,SNA,DF,0.005,
SNA+11U-31Z+32H-12M,CURVE,SNA,DF,0.005,
SNA+11Z-32H+32M-12U,CURVE,SNA,DF,0.005,
SNA+12H-32M+32U-12Z,CURVE,SNA,DF,0.005,
SNA+12M-32U+32Z-13H,CURVE,SNA,DF,0.005,
